"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 12 22:05:38 BRT 2023","Thu Jan 12 22:05:40 BRT 2023","1241","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_AllIds_ReturnOk","GetBookingIds_AllIds_ReturnOk()",""
"passed","Thu Jan 12 22:05:42 BRT 2023","Thu Jan 12 22:05:43 BRT 2023","786","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBooking_WithValidData_ReturnOk","GetBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:05:43 BRT 2023","Thu Jan 12 22:05:43 BRT 2023","820","","dev.karina.BookingTests","","dev.karina.BookingTests","UpdateBooking_WithValidData_ReturnOk","UpdateBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:05:34 BRT 2023","Thu Jan 12 22:05:36 BRT 2023","1969","","dev.karina.BookingTests","","dev.karina.BookingTests","Ping_HealthCheck_Return201","Ping_HealthCheck_Return201()",""
"passed","Thu Jan 12 22:05:37 BRT 2023","Thu Jan 12 22:05:38 BRT 2023","1021","","dev.karina.BookingTests","","dev.karina.BookingTests","CreateBooking_WithValidData_ReturnOk","CreateBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:05:43 BRT 2023","Thu Jan 12 22:05:44 BRT 2023","813","","dev.karina.BookingTests","","dev.karina.BookingTests","PartialUpdateBooking_WithValidData_ReturnOk","PartialUpdateBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:05:40 BRT 2023","Thu Jan 12 22:05:41 BRT 2023","848","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_FilerByName_ReturnOk","GetBookingIds_FilerByName_ReturnOk()",""
"passed","Thu Jan 12 22:05:36 BRT 2023","Thu Jan 12 22:05:37 BRT 2023","1493","","dev.karina.BookingTests","","dev.karina.BookingTests","CreateToken_WithValidData_ReturnOk","CreateToken_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:05:44 BRT 2023","Thu Jan 12 22:05:45 BRT 2023","764","","dev.karina.BookingTests","","dev.karina.BookingTests","DeleteBooking_UserExists_ReturneOk","DeleteBooking_UserExists_ReturneOk()",""
"passed","Thu Jan 12 22:05:41 BRT 2023","Thu Jan 12 22:05:42 BRT 2023","1192","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_FilerByCkeckinCheckoutDate_ReturnOk","GetBookingIds_FilerByCkeckinCheckoutDate_ReturnOk()",""
