"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 12 22:36:41 BRT 2023","Thu Jan 12 22:36:42 BRT 2023","794","","dev.karina.BookingTests","","dev.karina.BookingTests","PartialUpdateBooking_WithValidData_ReturnOk","PartialUpdateBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:36:33 BRT 2023","Thu Jan 12 22:36:35 BRT 2023","1515","","dev.karina.BookingTests","","dev.karina.BookingTests","CreateToken_WithValidData_ReturnOk","CreateToken_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:36:38 BRT 2023","Thu Jan 12 22:36:39 BRT 2023","1181","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_FilerByCkeckinCheckoutDate_ReturnOk","GetBookingIds_FilerByCkeckinCheckoutDate_ReturnOk()",""
"passed","Thu Jan 12 22:36:39 BRT 2023","Thu Jan 12 22:36:40 BRT 2023","776","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBooking_WithValidData_ReturnOk","GetBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:36:30 BRT 2023","Thu Jan 12 22:36:33 BRT 2023","2769","","dev.karina.BookingTests","","dev.karina.BookingTests","Ping_HealthCheck_Return201","Ping_HealthCheck_Return201()",""
"passed","Thu Jan 12 22:36:36 BRT 2023","Thu Jan 12 22:36:37 BRT 2023","1250","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_AllIds_ReturnOk","GetBookingIds_AllIds_ReturnOk()",""
"passed","Thu Jan 12 22:36:37 BRT 2023","Thu Jan 12 22:36:38 BRT 2023","798","","dev.karina.BookingTests","","dev.karina.BookingTests","GetBookingIds_FilerByName_ReturnOk","GetBookingIds_FilerByName_ReturnOk()",""
"passed","Thu Jan 12 22:36:40 BRT 2023","Thu Jan 12 22:36:41 BRT 2023","876","","dev.karina.BookingTests","","dev.karina.BookingTests","UpdateBooking_WithValidData_ReturnOk","UpdateBooking_WithValidData_ReturnOk()",""
"passed","Thu Jan 12 22:36:42 BRT 2023","Thu Jan 12 22:36:42 BRT 2023","772","","dev.karina.BookingTests","","dev.karina.BookingTests","DeleteBooking_UserExists_ReturneOk","DeleteBooking_UserExists_ReturneOk()",""
"passed","Thu Jan 12 22:36:35 BRT 2023","Thu Jan 12 22:36:36 BRT 2023","1038","","dev.karina.BookingTests","","dev.karina.BookingTests","CreateBooking_WithValidData_ReturnOk","CreateBooking_WithValidData_ReturnOk()",""
